Time,Latitude,Longitude,Place,Magnitude
2023-10-11T14:10:50.027Z,40.6585,142.3965,Japan,4.5
2023-10-09T07:43:12.251Z,37.1528,142.452,Japan,4.4
2023-10-09T02:51:35.036Z,40.2476,142.4016,Japan,4.1
2023-10-08T13:19:13.180Z,33.7934,137.5599,Japan,4.3
2023-10-08T10:49:50.853Z,35.6989,140.3922,Japan,4.1
2023-10-08T06:42:42.613Z,25.1086,123.6254,Japan,4.2
2023-10-07T21:57:55.378Z,40.2382,142.2377,Japan,4.0
2023-10-07T17:05:18.629Z,40.294,142.2527,Japan,4.3
2023-10-07T14:26:28.186Z,40.2023,142.3093,Japan,5.1
2023-10-06T19:45:15.133Z,31.2105,137.5261,Japan,4.7
2023-10-06T19:24:51.087Z,25.1326,123.6059,Japan,4.4
2023-10-06T07:44:04.551Z,37.2095,141.0668,Japan,4.3
2023-10-04T03:52:26.784Z,40.3821,141.5417,Japan,4.3
2023-10-02T16:30:29.538Z,32.834,141.7442,Japan,4.6
2023-10-02T13:26:24.406Z,36.7431,139.8078,Japan,4.4
2023-10-01T04:25:50.519Z,38.6724,141.8597,Japan,4.5
2023-10-01T03:03:30.309Z,25.9872,128.6272,Japan,4.5
2023-09-30T18:09:00.058Z,39.5154,143.5344,Japan,4.4
2023-09-30T17:10:47.860Z,24.4806,127.4395,Japan,4.2
2023-09-30T03:07:24.089Z,43.3385,143.9856,Japan,4.3
2023-09-29T15:44:57.240Z,40.0644,144.1888,Japan,4.6
2023-09-29T07:57:52.190Z,36.8907,140.2425,Japan,4.5
2023-09-28T14:29:47.648Z,37.4525,137.1593,Japan,4.4
2023-09-26T22:21:41.415Z,37.5443,141.4792,Japan,4.5
2023-09-25T23:39:21.693Z,38.3269,141.2176,Japan,4.5
2023-09-25T23:04:32.154Z,24.4713,122.7379,Japan,4.4
2023-09-25T04:35:49.740Z,41.5101,142.0264,Japan,4.4
2023-09-25T03:37:59.667Z,33.8088,136.9436,Japan,4.4
2023-09-24T14:30:40.586Z,35.5838,141.0794,Japan,4.4
2023-09-23T15:01:15.623Z,35.6144,140.6581,Japan,4.4
2023-09-22T23:31:24.932Z,44.9282,144.3001,Japan,4.0
2023-09-22T19:13:40.577Z,43.346,138.9676,Japan,4.0
2023-09-20T14:00:13.129Z,40.1177,142.4358,Japan,4.4
2023-09-20T00:49:13.144Z,40.3436,144.9931,Japan,4.7
2023-09-19T23:43:58.767Z,23.972,122.5196,Japan,4.2
2023-09-19T10:23:28.774Z,44.056,145.3432,Japan,4.3
2023-09-19T04:35:30.513Z,29.061,129.3101,Japan,4.3
2023-09-18T20:32:10.052Z,33.1479,138.3029,Japan,4.1
2023-09-18T19:33:03.532Z,38.5226,141.6584,Japan,5.5
2023-09-18T13:21:23.535Z,26.5312,125.2312,Japan,6.3
2023-09-18T03:43:21.787Z,28.5597,129.9661,Japan,4.6
2023-09-18T02:12:31.532Z,39.5393,143.3217,Japan,4.2
2023-09-18T02:05:08.019Z,36.4675,141.1476,Japan,4.4
2023-09-16T05:58:35.832Z,35.931,140.2719,Japan,4.4
2023-09-15T19:35:57.740Z,37.1972,141.5158,Japan,4.5
2023-09-15T07:56:43.592Z,35.7795,140.2583,Japan,4.4
2023-09-13T16:29:45.262Z,37.0438,141.5366,Japan,4.1
2023-09-13T02:07:28.373Z,25.1427,127.1445,Japan,4.2
2023-09-12T08:57:26.959Z,28.1179,130.2821,Japan,4.9
2023-09-12T08:56:06.804Z,28.2126,130.0374,Japan,4.5
2023-09-12T01:00:04.874Z,35.294,141.3558,Japan,4.4
2023-09-11T23:41:44.989Z,37.8296,142.0778,Japan,4.2
2023-09-11T18:30:08.364Z,24.5313,127.8188,Japan,4.5
2023-09-11T16:46:11.614Z,29.2861,129.4905,Japan,4.9
